path_id,model,abs_time,abs_state,steps
225,B,2.6028000000000002,0,26028
226,A,0.55310000000000004,1,5531
226,B,0.5665,0,5665
227,A,0.3735,1,3735
227,B,0.30130000000000001,0,3013
228,A,0.94510000000000005,1,9451
228,B,0.35300000000000004,0,3530
229,A,0.42010000000000003,1,4201
229,B,0.44040000000000001,0,4404
230,A,0.76929999999999998,1,7693
230,B,0.87360000000000004,0,8736
231,A,1.3286,1,13286
231,B,1.2082000000000002,1,12082
232,A,0.60580000000000001,1,6058
232,B,2.9364000000000003,1,29364
233,A,0.64510000000000001,1,6451
233,B,0.32519999999999999,0,3252
234,A,1.0403,1,10403
234,B,0.40600000000000003,0,4060
235,A,1.5252000000000001,1,15252
235,B,1.3728,1,13728
236,A,1.4394,1,14394
236,B,1.9525000000000001,1,19525
237,A,1.0366,1,10366
237,B,1.2390000000000001,0,12390
238,A,1.2203000000000002,1,12203
238,B,0.26119999999999999,0,2612
239,A,0.63040000000000007,1,6304
239,B,1.2442,0,12442
240,A,0.87080000000000002,1,8708
240,B,0.41400000000000003,0,4140
241,A,0.93149999999999999,1,9315
241,B,1.1677999999999999,0,11678
242,A,0.39530000000000004,1,3953
242,B,0.30360000000000004,0,3036
243,A,0.52590000000000003,1,5259
243,B,0.55510000000000004,0,5551
244,A,1.2133,1,12133
244,B,0.89370000000000005,0,8937
245,A,0.71820000000000006,1,7182
245,B,1.5165000000000002,0,15165
246,A,0.88850000000000007,1,8885
246,B,0.3034,0,3034
247,A,0.53649999999999998,1,5365
247,B,2.0901000000000001,1,20901
248,A,0.81540000000000001,1,8154
248,B,0.85680000000000001,1,8568
249,A,1.2077,1,12077
249,B,0.59210000000000007,0,5921
250,A,2.2582,1,22582
250,B,0.63100000000000001,0,6310
251,A,0.89500000000000002,1,8950
251,B,0.1583,0,1583
252,A,0.78620000000000001,1,7862
252,B,0.6875,1,6875
253,A,0.26750000000000002,1,2675
253,B,0.67470000000000008,1,6747
254,A,0.57620000000000005,1,5762
254,B,0.89450000000000007,1,8945
255,A,1.0519000000000001,1,10519
255,B,0.52010000000000001,0,5201
256,A,0.4657,1,4657
256,B,1.9899,0,19899
257,A,0.78250000000000008,1,7825
257,B,1.1641000000000001,0,11641
258,A,0.60530000000000006,1,6053
258,B,0.40810000000000002,0,4081
259,A,1.1337000000000002,1,11337
259,B,0.25509999999999999,0,2551
260,A,0.4254,1,4254
260,B,0.36870000000000003,0,3687
261,A,0.58379999999999999,1,5838
261,B,0.50740000000000007,0,5074
262,A,0.9224,1,9224
262,B,1.542,0,15420
263,A,1.1766000000000001,1,11766
263,B,0.3871,0,3871
264,A,0.4224,1,4224
264,B,0.56680000000000008,0,5668
265,A,0.83080000000000009,1,8308
265,B,1.3078000000000001,1,13078
266,A,0.93280000000000007,1,9328
266,B,0.25659999999999999,0,2566
267,A,0.93610000000000004,1,9361
267,B,0.2288,0,2288
268,A,0.54070000000000007,1,5407
268,B,2.0486,1,20486
269,A,0.27660000000000001,1,2766
269,B,0.73360000000000003,1,7336
270,A,0.8528,1,8528
270,B,0.4007,0,4007
271,A,0.77310000000000001,1,7731
271,B,2.6935000000000002,1,26935
272,A,1.3056000000000001,1,13056
272,B,1.4593,0,14593
273,A,1.1782000000000001,1,11782
273,B,1.9169,0,19169
274,A,1.0511000000000001,1,10511
274,B,0.34840000000000004,0,3484
275,A,0.40710000000000002,1,4071
275,B,0.69450000000000001,1,6945
276,A,0.4753,1,4753
276,B,1.6761000000000001,0,16761
277,A,1.0939000000000001,1,10939
277,B,0.81020000000000003,0,8102
278,A,0.5857,1,5857
278,B,0.44190000000000002,0,4419
279,A,1.7219,1,17219
279,B,1.8739000000000001,0,18739
280,A,0.39269999999999999,1,3927
280,B,0.24180000000000001,0,2418
281,A,0.75519999999999998,1,7552
281,B,0.59750000000000003,0,5975
282,A,1.9473,1,19473
282,B,0.94730000000000003,1,9473
283,A,0.51550000000000007,1,5155
283,B,2.0277000000000003,1,20277
284,A,0.61730000000000007,1,6173
284,B,1.8954000000000002,1,18954
285,A,1.0981000000000001,1,10981
285,B,3.5253000000000001,0,35253
286,A,0.64370000000000005,1,6437
286,B,2.6015999999999999,0,26016
287,A,0.70850000000000002,1,7085
287,B,0.63900000000000001,0,6390
288,A,0.39019999999999999,1,3902
288,B,1.7490000000000001,1,17490
289,A,0.82580000000000009,1,8258
289,B,1.5793000000000001,0,15793
290,A,0.36980000000000002,1,3698
290,B,1.0605,1,10605
291,A,0.57590000000000008,1,5759
291,B,0.4209,0,4209
292,A,0.54749999999999999,1,5475
292,B,1.4273,1,14273
293,A,0.79949999999999999,1,7995
293,B,2.2051000000000003,0,22051
294,A,0.76660000000000006,1,7666
294,B,0.35920000000000002,0,3592
295,A,0.44220000000000004,1,4422
295,B,0.4229,0,4229
296,A,0.61199999999999999,1,6120
296,B,5.2202000000000002,0,52202
297,A,0.45020000000000004,1,4502
297,B,0.73640000000000005,0,7364
298,A,0.62819999999999998,1,6282
298,B,1.4297,0,14297
299,A,1.0062,1,10062
299,B,1.216,0,12160
300,A,0.87880000000000003,1,8788
300,B,2.4925000000000002,1,24925
301,A,0.53870000000000007,1,5387
301,B,0.7641,1,7641
302,A,0.42700000000000005,0,4270
302,B,1.4533,1,14533
303,A,0.46450000000000002,1,4645
303,B,1.9166000000000001,0,19166
304,A,0.27979999999999999,1,2798
304,B,1.8496000000000001,0,18496
305,A,1.2096,1,12096
305,B,0.72210000000000008,0,7221
306,A,0.68490000000000006,1,6849
306,B,2.7641,0,27641
307,A,0.70550000000000002,1,7055
307,B,0.94700000000000006,0,9470
308,A,0.64280000000000004,1,6428
308,B,2.5179,1,25179
309,A,1.1891,1,11891
309,B,1.1926000000000001,1,11926
310,A,0.25209999999999999,0,2521
310,B,4.2463000000000006,1,42463
311,A,0.56640000000000001,1,5664
311,B,1.6681000000000001,1,16681
312,A,0.64460000000000006,1,6446
312,B,1.3912,1,13912
313,A,1.1213,1,11213
313,B,0.70130000000000003,0,7013
314,A,0.94880000000000009,1,9488
314,B,0.52270000000000005,0,5227
315,A,0.52550000000000008,1,5255
315,B,1.6953,0,16953
316,A,0.5202,1,5202
316,B,0.83540000000000003,0,8354
317,A,0.91770000000000007,1,9177
317,B,2.6387,0,26387
318,A,0.37090000000000001,1,3709
318,B,2.7157,0,27157
319,A,0.64750000000000008,1,6475
319,B,0.1767,0,1767
320,A,0.39410000000000001,1,3941
320,B,1.1733,0,11733
321,A,1.2384000000000002,1,12384
321,B,1.7657,0,17657
322,A,0.55110000000000003,1,5511
322,B,0.90070000000000006,1,9007
323,A,1.6826000000000001,1,16826
323,B,1.9723000000000002,1,19723
324,A,0.59850000000000003,1,5985
324,B,1.9765000000000001,0,19765
325,A,0.5292,1,5292
325,B,0.2472,0,2472
326,A,0.5544,1,5544
326,B,1.3492,0,13492
327,A,0.5625,1,5625
327,B,0.46390000000000003,0,4639
328,A,1.177,1,11770
328,B,2.0422000000000002,1,20422
329,A,0.79690000000000005,1,7969
329,B,0.47210000000000002,0,4721
330,A,0.75280000000000002,1,7528
330,B,0.47290000000000004,0,4729
331,A,0.1971,1,1971
331,B,0.45470000000000005,0,4547
332,A,0.34600000000000003,1,3460
332,B,1.8567,0,18567
333,A,0.58800000000000008,1,5880
333,B,0.54970000000000008,1,5497
334,A,1.0172000000000001,1,10172
334,B,1.5782,1,15782
335,A,0.57169999999999999,1,5717
335,B,0.34870000000000001,0,3487
336,A,1.3301000000000001,1,13301
336,B,1.5613000000000001,1,15613
337,A,0.71220000000000006,1,7122
337,B,1.1374,1,11374
338,A,0.10400000000000001,0,1040
338,B,0.61409999999999998,1,6141
339,A,0.8095,1,8095
339,B,0.75190000000000001,1,7519
340,A,0.38150000000000001,1,3815
340,B,2.2686999999999999,0,22687
341,A,0.3085,1,3085
341,B,0.6038,1,6038
342,A,0.53339999999999999,1,5334
